motion_id,name,description,type,file
b5b82299-62da-49dd-ac55-9fde07ae45d8,Standing Torch Run Forward,Running Forwards With Torch,Motion,download/b5b82299-62da-49dd-ac55-9fde07ae45d8.fbx
a02a47ae-3e9f-42d6-8826-bc55a5b89a6c,Male Action Pose,Pushing With Both Hands,Motion,download/a02a47ae-3e9f-42d6-8826-bc55a5b89a6c.fbx
27285e81-ea46-448c-8ee2-fc2cccccddba,Standing Torch Melee Attack 03,Two Hit Combo Attack With Torch,Motion,download/27285e81-ea46-448c-8ee2-fc2cccccddba.fbx
c9cd8f1a-b96c-11e4-a802-0aaa78deedf9,Box Turn,Turning Left Carrying A Box,Motion,download/c9cd8f1a-b96c-11e4-a802-0aaa78deedf9.fbx
c9ce5ce4-b96c-11e4-a802-0aaa78deedf9,Drunk Run Forward,Running Forward While Drunk,Motion,download/c9ce5ce4-b96c-11e4-a802-0aaa78deedf9.fbx
c9c8f331-b96c-11e4-a802-0aaa78deedf9,Shoulder Hit And Fall,Hit In The Shoulder And Falls To The Ground,Motion,download/c9c8f331-b96c-11e4-a802-0aaa78deedf9.fbx
c9c8b71c-b96c-11e4-a802-0aaa78deedf9,Check Shoe,Check Shoe While Holding Rifle,Motion,download/c9c8b71c-b96c-11e4-a802-0aaa78deedf9.fbx
c9c8ca31-b96c-11e4-a802-0aaa78deedf9,Jumping Down,Jumping Down From Higher Level,Motion,download/c9c8ca31-b96c-11e4-a802-0aaa78deedf9.fbx
c9c8fc30-b96c-11e4-a802-0aaa78deedf9,Running Jump,Fast Run To Jump Up Onto Higher Level,Motion,download/c9c8fc30-b96c-11e4-a802-0aaa78deedf9.fbx
c9c831cf-b96c-11e4-a802-0aaa78deedf9,Standing Idle,Standing Idle,Motion,download/c9c831cf-b96c-11e4-a802-0aaa78deedf9.fbx
c9c7f7e3-b96c-11e4-a802-0aaa78deedf9,Hit Reaction,Holding Rifle,Motion,download/c9c7f7e3-b96c-11e4-a802-0aaa78deedf9.fbx
c9c6d86d-b96c-11e4-a802-0aaa78deedf9,Putting Down,Putting Down An Object,Motion,download/c9c6d86d-b96c-11e4-a802-0aaa78deedf9.fbx
c9c639a9-b96c-11e4-a802-0aaa78deedf9,Gunplay,Shooting,Motion,download/c9c639a9-b96c-11e4-a802-0aaa78deedf9.fbx
c9c79d1f-b96c-11e4-a802-0aaa78deedf9,Bored,Standing Around Bored Idle,Motion,download/c9c79d1f-b96c-11e4-a802-0aaa78deedf9.fbx
c9c720b7-b96c-11e4-a802-0aaa78deedf9,Walking,Boxing Advancing Forward,Motion,download/c9c720b7-b96c-11e4-a802-0aaa78deedf9.fbx
c9c7a617-b96c-11e4-a802-0aaa78deedf9,Back Flip To Uppercut,Back Flip To Uppercut Combo,Motion,download/c9c7a617-b96c-11e4-a802-0aaa78deedf9.fbx
c9c77262-b96c-11e4-a802-0aaa78deedf9,Speedbag,Punching A Speedbag,Motion,download/c9c77262-b96c-11e4-a802-0aaa78deedf9.fbx
c9c78916-b96c-11e4-a802-0aaa78deedf9,Flying,Flying Idle,Motion,download/c9c78916-b96c-11e4-a802-0aaa78deedf9.fbx
c9c792b2-b96c-11e4-a802-0aaa78deedf9,Sitting Victory,Celebrating Victory While Sitting,Motion,download/c9c792b2-b96c-11e4-a802-0aaa78deedf9.fbx
c9c78e47-b96c-11e4-a802-0aaa78deedf9,Throwing Dice,Throwing Dice From A Sitting Position,Motion,download/c9c78e47-b96c-11e4-a802-0aaa78deedf9.fbx
c9c66acd-b96c-11e4-a802-0aaa78deedf9,Jumping,Male Stepping Onto Platform,Motion,download/c9c66acd-b96c-11e4-a802-0aaa78deedf9.fbx
c9c63329-b96c-11e4-a802-0aaa78deedf9,Listening To Music,Male With Headphones Listening To Music,Motion,download/c9c63329-b96c-11e4-a802-0aaa78deedf9.fbx
c9c60315-b96c-11e4-a802-0aaa78deedf9,Walking,Zombie Walking,Motion,download/c9c60315-b96c-11e4-a802-0aaa78deedf9.fbx
c9c5f7e1-b96c-11e4-a802-0aaa78deedf9,Punching,Jab Punch,Motion,download/c9c5f7e1-b96c-11e4-a802-0aaa78deedf9.fbx
c9c60b71-b96c-11e4-a802-0aaa78deedf9,Idle,Male Boxing Idle,Motion,download/c9c60b71-b96c-11e4-a802-0aaa78deedf9.fbx
c9c816df-b96c-11e4-a802-0aaa78deedf9,Vampiric Bite,Lunging Forward To Bite,Motion,download/c9c816df-b96c-11e4-a802-0aaa78deedf9.fbx
c9c85e20-b96c-11e4-a802-0aaa78deedf9,Entering Code,Entering An Access Code,Motion,download/c9c85e20-b96c-11e4-a802-0aaa78deedf9.fbx
c9c888f7-b96c-11e4-a802-0aaa78deedf9,Head Spinning,Breakdance Head Spin,Motion,download/c9c888f7-b96c-11e4-a802-0aaa78deedf9.fbx
c9c87ad9-b96c-11e4-a802-0aaa78deedf9,Crouch To Prone,Crouching To Laying Prone Transition,Motion,download/c9c87ad9-b96c-11e4-a802-0aaa78deedf9.fbx
